#    lambda_um    Flux_Jy   Sigma_Jy    AOT ident.
      3.01467      1615.81      15.7214      2.00000
      3.01582      1631.07      7.82814      2.00000
      3.01583      1575.36      12.3591      3.00000
      3.01591      1564.18      18.0505      4.00000
      3.01722      1620.15      9.52674      2.00000
      3.01741      1583.87      14.2613      4.00000
      3.01748      1580.52      11.2829      3.00000
      3.01863      1606.76      11.5867      2.00000
      3.01889      1566.65      10.8371      3.00000
      3.01914      1603.13      11.3054      4.00000
      3.02011      1608.95      8.18089      4.00000
      3.02032      1552.46      13.5651      3.00000
      3.02047      1570.75      10.0149      2.00000
      3.02164      1535.38      13.9231      3.00000
      3.02194      1550.01      10.8734      2.00000
      3.02210      1585.79      21.7818      4.00000
      3.02335      1529.67      10.4274      2.00000
      3.02346      1510.47      8.11413      3.00000
      3.02404      1560.91      25.9141      4.00000
      3.02485      1514.17      7.62999      2.00000
      3.02503      1550.68      25.4433      4.00000
      3.02513      1497.35      7.30248      3.00000
      3.02600      1546.60      23.8196      4.00000
      3.02606      1508.84      6.45907      2.00000
      3.02663      1500.35      12.8731      3.00000
      3.02786      1505.61      12.6835      3.00000
      3.02791      1508.80      4.68257      2.00000
      3.02796      1534.78      18.8840      4.00000
      3.02914      1516.47      7.13599      2.00000
      3.02946      1526.95      14.1472      3.00000
      3.03007      1562.01      20.4037      4.00000
      3.03067      1548.85      15.1237      3.00000
      3.03105      1553.27      19.6341      4.00000
      3.03107      1538.79      7.61703      2.00000
      3.03202      1563.01      17.3418      4.00000
      3.03220      1568.16      13.5389      3.00000
      3.03228      1556.68      7.49405      2.00000
      3.03384      1589.84      8.95009      3.00000
      3.03388      1582.46      7.85840      2.00000
      3.03398      1564.06      18.2798      4.00000
      3.03511      1592.99      7.90935      2.00000
      3.03566      1600.62      5.80011      3.00000
      3.03608      1589.36      15.9860      4.00000
      3.03691      1593.95      9.90320      3.00000
      3.03694      1570.08      17.7484      4.00000
      3.03704      1598.95      6.83180      2.00000
      3.03802      1559.82      18.3712      4.00000
      3.03824      1578.30      13.8802      3.00000
      3.03828      1594.59      9.17635      2.00000
      3.03984      1556.02      12.2793      3.00000
      3.04001      1522.77      13.3708      4.00000
      3.04012      1574.44      14.5419      2.00000
      3.04145      1553.45      14.8325      2.00000
      3.04146      1532.16      7.33834      3.00000
      3.04200      1517.74      13.1553      4.00000
      3.04305      1537.46      12.4803      2.00000
      3.04311      1516.19      5.81250      3.00000
      3.04319      1513.24      15.3086      4.00000
      3.04425      1536.09      11.6692      2.00000
      3.04451      1502.82      8.54573      3.00000
      3.04465      1499.29      10.8673      4.00000
      3.04589      1497.50      13.5515      4.00000
      3.04594      1485.16      10.1986      3.00000
      3.04631      1536.96      10.0903      2.00000
      3.04711      1537.55      10.5660      2.00000
      3.04726      1475.19      9.11875      3.00000
      3.04785      1467.29      21.2701      4.00000
      3.04791      1533.00      16.4684      2.00000
